ID;Species;Tree age;DBH;H tree;Hcr;Dcr;Vtot;Vbark;Origin;Pst;Pbark;Pbr;Pf;Pabo;Proot;Ptot;Location;Country;Latitude;Longitude;Altitude (m.s.l.);Tree number / ha;Reference;Notes;Ecoregion;ID_Plot
3045;Picea abies (L.) Karst.;100;14;;;;;;Natural;45,6;5,6;13,8;10,6;70;;;Rila Mount.: Samokov;BUL;42,00;22,00;;440;Dimitrov, 1983;;80404;
3046;Picea abies (L.) Karst.;100;18;;;;;;Natural;82,7;9,6;23,8;18,5;125;;;Rila Mount.: Samokov;BUL;42,00;22,00;;440;Dimitrov, 1983;;80404;
3047;Picea abies (L.) Karst.;100;22;;;;;;Natural;135;15;36;28;199;;;Rila Mount.: Samokov;BUL;42,00;22,00;;440;Dimitrov, 1983;;80404;
3048;Picea abies (L.) Karst.;100;26;;;;;;Natural;230;24;59;38;327;;;Rila Mount.: Samokov;BUL;42,00;22,00;;440;Dimitrov, 1983;;80404;
3049;Picea abies (L.) Karst.;100;30;;;;;;Natural;292;29;71;42;405;;;Rila Mount.: Samokov;BUL;42,00;22,00;;440;Dimitrov, 1983;;80404;
3050;Picea abies (L.) Karst.;100;34;;;;;;Natural;400;38;88;53;541;;;Rila Mount.: Samokov;BUL;42,00;22,00;;440;Dimitrov, 1983;;80404;
3051;Picea abies (L.) Karst.;100;38;;;;;;Natural;520;50;111;68;699;;;Rila Mount.: Samokov;BUL;42,00;22,00;;440;Dimitrov, 1983;;80404;
3052;Picea abies (L.) Karst.;100;42;;;;;;Natural;656;61;140;84;880;;;Rila Mount.: Samokov;BUL;42,00;22,00;;440;Dimitrov, 1983;;80404;
3053;Picea abies (L.) Karst.;100;46;;;;;;Natural;813;74;171;101;1085;;;Rila Mount.: Samokov;BUL;42,00;22,00;;440;Dimitrov, 1983;;80404;
3054;Picea abies (L.) Karst.;100;50;;;;;;Natural;992;89;201;121;1314;;;Rila Mount.: Samokov;BUL;42,00;22,00;;440;Dimitrov, 1983;;80404;
3055;Picea abies (L.) Karst.;100;54;;;;;;Natural;1190;104;237;143;1570;;;Rila Mount.: Samokov;BUL;42,00;22,00;;440;Dimitrov, 1983;;80404;
3056;Picea abies (L.) Karst.;100;58;;;;;;Natural;1406;120;276;168;1850;;;Rila Mount.: Samokov;BUL;42,00;22,00;;440;Dimitrov, 1983;;80404;
3057;Picea abies (L.) Karst.;100;62;;;;;;Natural;1547;129;300;178;2025;;;Rila Mount.: Samokov;BUL;42,00;22,00;;440;Dimitrov, 1983;;80404;
3058;Picea abies (L.) Karst.;100;66;;;;;;Natural;1729;144;329;196;2254;;;Rila Mount.: Samokov;BUL;42,00;22,00;;440;Dimitrov, 1983;;80404;
3059;Picea abies (L.) Karst.;100;70;;;;;;Natural;1832;147;340;204;2376;;;Rila Mount.: Samokov;BUL;42,00;22,00;;440;Dimitrov, 1983;;80404;
3060;Picea abies (L.) Karst.;100;74;;;;;;Natural;1936;1,52;349;206;2491;;;Rila Mount.: Samokov;BUL;42,00;22,00;;440;Dimitrov, 1983;;80404;
3061;Picea abies (L.) Karst.;100;78;;;;;;Natural;2234;171;394;225;2853;;;Rila Mount.: Samokov;BUL;42,00;22,00;;440;Dimitrov, 1983;;80404;
3062;Picea abies (L.) Karst.;100;82;;;;;;Natural;2551;194;441;250;3242;;;Rila Mount.: Samokov;BUL;42,00;22,00;;440;Dimitrov, 1983;;80404;
3063;Picea abies (L.) Karst.;100;86;;;;;;Natural;2889;231;494;278;3661;;;Rila Mount.: Samokov;BUL;42,00;22,00;;440;Dimitrov, 1983;;80404;
3064;Picea abies (L.) Karst.;100;90;;;;;;Natural;3261;238;546;300;4107;;;Rila Mount.: Samokov;BUL;42,00;22,00;;440;Dimitrov, 1983;;80404;
3065;Picea abies (L.) Karst.;100;94;;;;;;Natural;3685;257;600;298;4583;;;Rila Mount.: Samokov;BUL;42,00;22,00;;440;Dimitrov, 1983;;80404;
3066;Picea abies (L.) Karst.;100;98;;;;;;Natural;4122;280;662;305;5089;;;Rila Mount.: Samokov;BUL;42,00;22,00;;440;Dimitrov, 1983;;80404;
3067;Picea abies (L.) Karst.;10;4,6;5,6;;;;;Natural;2,05;;0,387;0,404;2,84;0,723;3,563;Jelgava;LAT;56,50;23,50;;80000;Rokjanis, 1978;;80436;
3068;Picea abies (L.) Karst.;29;12,7;13;;;;;Natural;11,56;;1,369;1,933;14,86;4,71;19,57;Jelgava;LAT;56,50;23,50;;13224;Rokjanis, 1978;;80436;
3069;Picea abies (L.) Karst.;48;23,5;21,5;;;;;Natural;272,5;;16,95;31,79;321,2;76,22;397,42;Jelgava;LAT;56,50;23,50;;1404;Rokjanis, 1978;;80436;
3070;Picea abies (L.) Karst.;71;34,5;29,9;;;;;Natural;521;;45,12;73,11;639,2;115,7;754,9;Jelgava;LAT;56,50;23,50;;622;Rokjanis, 1978;;80436;
3071;Picea abies (L.) Karst.;89;40;30,3;;;;;Natural;669;;74,87;78,79;822,7;196,5;1019,2;Jelgava;LAT;56,50;23,50;;612;Rokjanis, 1978;;80436;
3072;Picea abies (L.) Karst.;194;15,7;11,2;;;;;Natural;49,6;4,4;14,9;6,9;71,4;24;95,4;Murmansk oblast', Kovdor region: Upoloksha;RUS;67,55;31,90;;;Alekseyev, Rак, 1985;;80608;
3073;Picea abies (L.) Karst.;160;15;14,1;;;;;Natural;55,7;5,1;13,9;10;79,6;25;104,6;Murmansk oblast', Kovdor region: Upoloksha;RUS;67,55;31,90;;;Alekseyev, Rак, 1985;;80608;
3074;Picea abies (L.) Karst.;186;15,8;14,7;;;;;Natural;64,3;5,6;5,9;2,6;72,8;26;98,8;Murmansk oblast', Kovdor region: Upoloksha;RUS;67,55;31,90;;;Alekseyev, Rак, 1985;;80608;
3075;Picea abies (L.) Karst.;35;;1,1;;;0,4;;Natural;0,2;;0,1;0,1;0,4;0,1;0,5;Southern Karelia;RUS;61,50;34,52;;7150;Kazimirov and Morozova, 1973;;80608;
3076;Picea abies (L.) Karst.;35;1,7;2,2;;;0,9;;Natural;0,4;;0,2;0,3;0,9;0,2;1,1;Southern Karelia;RUS;61,50;34,52;;7150;Kazimirov and Morozova, 1973;;80608;
3077;Picea abies (L.) Karst.;35;3,5;3,6;;;3,1;;Natural;1,4;;0,6;0,6;2,6;0,6;3,2;Southern Karelia;RUS;61,50;34,52;;7150;Kazimirov and Morozova, 1973;;80608;
3078;Picea abies (L.) Karst.;35;5;5,2;;;7,5;;Natural;3,4;;0,9;0,9;5,2;;;Southern Karelia;RUS;61,50;34,52;;7150;Kazimirov and Morozova, 1973;;80608;
3079;Picea abies (L.) Karst.;35;6,2;5,8;;;10,2;;Natural;4,6;;1,5;1,1;7,2;2;9,2;Southern Karelia;RUS;61,50;34,52;;7150;Kazimirov and Morozova, 1973;;80608;
3080;Picea abies (L.) Karst.;35;7,8;6,5;;;16,8;;Natural;7,9;;2,4;1,6;11,9;;;Southern Karelia;RUS;61,50;34,52;;7150;Kazimirov and Morozova, 1973;;80608;
3081;Picea abies (L.) Karst.;35;8,4;6,9;;;18,2;;Natural;8,8;;2,6;1,8;13,2;3,6;16,8;Southern Karelia;RUS;61,50;34,52;;7150;Kazimirov and Morozova, 1973;;80608;
3082;Picea abies (L.) Karst.;33;;1,2;;;0,3;;Natural;0,2;;0,1;0,1;0,4;0,1;0,5;Southern Karelia;RUS;61,50;34,52;;10830;Kazimirov and Morozova, 1973;;80608;
3083;Picea abies (L.) Karst.;33;1,6;2,3;;;0,9;;Natural;0,4;;0,2;0,2;0,8;0,2;1;Southern Karelia;RUS;61,50;34,52;;10830;Kazimirov and Morozova, 1973;;80608;
3084;Picea abies (L.) Karst.;33;3,1;3,4;;;2,8;;Natural;1,3;;0,4;0,3;2;;;Southern Karelia;RUS;61,50;34,52;;10830;Kazimirov and Morozova, 1973;;80608;
3085;Picea abies (L.) Karst.;33;5,4;5,2;;;8,2;;Natural;3,9;;1;0,7;5,6;1,4;7;Southern Karelia;RUS;61,50;34,52;;10830;Kazimirov and Morozova, 1973;;80608;
3086;Picea abies (L.) Karst.;33;7,2;5,6;;;13,4;;Natural;6,3;;2;1,1;9,4;;;Southern Karelia;RUS;61,50;34,52;;10830;Kazimirov and Morozova, 1973;;80608;
3087;Picea abies (L.) Karst.;33;8;6,8;;;17,6;;Natural;8,3;;2,5;1,2;12;;;Southern Karelia;RUS;61,50;34,52;;10830;Kazimirov and Morozova, 1973;;80608;
3088;Picea abies (L.) Karst.;33;8,2;6,8;;;18,3;;Natural;8,6;;2,8;1,3;12,7;3,4;16,1;Southern Karelia;RUS;61,50;34,52;;10830;Kazimirov and Morozova, 1973;;80608;
3089;Picea abies (L.) Karst.;33;;1;;;0,4;;Natural;0,2;;0,1;0,1;0,4;0,1;0,5;Southern Karelia;RUS;61,50;34,52;;6650;Kazimirov and Morozova, 1973;;80608;
3090;Picea abies (L.) Karst.;33;1,8;2,6;;;0,8;;Natural;0,4;;0,2;0,3;0,9;0,2;1,1;Southern Karelia;RUS;61,50;34,52;;6650;Kazimirov and Morozova, 1973;;80608;
3091;Picea abies (L.) Karst.;33;2,9;3;;;2,4;;Natural;1,1;;0,3;0,4;1,8;;;Southern Karelia;RUS;61,50;34,52;;6650;Kazimirov and Morozova, 1973;;80608;
3092;Picea abies (L.) Karst.;33;4,1;4,1;;;4,3;;Natural;2;;0,6;0,6;3,2;0,8;4;Southern Karelia;RUS;61,50;34,52;;6650;Kazimirov and Morozova, 1973;;80608;
3093;Picea abies (L.) Karst.;33;5,6;5,5;;;8,2;;Natural;3,7;;1,2;0,8;5,7;;;Southern Karelia;RUS;61,50;34,52;;6650;Kazimirov and Morozova, 1973;;80608;
3094;Picea abies (L.) Karst.;33;6,2;5,8;;;10,8;;Natural;5,3;;1,5;1;7,8;1,9;9,7;Southern Karelia;RUS;61,50;34,52;;6650;Kazimirov and Morozova, 1973;;80608;
3095;Picea abies (L.) Karst.;36;;1,3;;;0,3;;Natural;0,2;;0,1;0,1;0,4;0,1;0,5;Southern Karelia;RUS;61,50;34,52;;6380;Kazimirov and Morozova, 1973;;80608;
3096;Picea abies (L.) Karst.;36;2,1;2,6;;;1,1;;Natural;0,5;;0,2;0,3;1;0,2;1,2;Southern Karelia;RUS;61,50;34,52;;6380;Kazimirov and Morozova, 1973;;80608;
3097;Picea abies (L.) Karst.;36;3;3,1;;;2,5;;Natural;1,2;;0,3;0,4;1,9;;;Southern Karelia;RUS;61,50;34,52;;6380;Kazimirov and Morozova, 1973;;80608;
3098;Picea abies (L.) Karst.;36;4,2;4,6;;;4,3;;Natural;2;;0,6;0,6;3,2;0,8;4;Southern Karelia;RUS;61,50;34,52;;6380;Kazimirov and Morozova, 1973;;80608;
3099;Picea abies (L.) Karst.;36;5,4;5,3;;;7,8;;Natural;3,6;;0,9;0,7;5,2;;;Southern Karelia;RUS;61,50;34,52;;6380;Kazimirov and Morozova, 1973;;80608;
3100;Picea abies (L.) Karst.;36;5,8;5,8;;;9,2;;Natural;4,2;;1,2;0,8;6,2;1,6;7,8;Southern Karelia;RUS;61,50;34,52;;6380;Kazimirov and Morozova, 1973;;80608;
3101;Picea abies (L.) Karst.;56;2;;;;;;Natural;0,4;;0,1;0,1;0,6;0,2;0,8;Southern Karelia;RUS;61,50;34,52;;5613;Kazimirov and Morozova, 1973;;80608;
3102;Picea abies (L.) Karst.;56;4;;;;;;Natural;1,6;;0,5;0,4;2,5;0,6;3,1;Southern Karelia;RUS;61,50;34,52;;5613;Kazimirov and Morozova, 1973;;80608;
3103;Picea abies (L.) Karst.;56;6;;;;;;Natural;4,3;;1;0,9;6,2;1,5;7,7;Southern Karelia;RUS;61,50;34,52;;5613;Kazimirov and Morozova, 1973;;80608;
3104;Picea abies (L.) Karst.;56;8;;;;;;Natural;8,5;;1,8;1,7;12;2,7;14,7;Southern Karelia;RUS;61,50;34,52;;5613;Kazimirov and Morozova, 1973;;80608;
3105;Picea abies (L.) Karst.;56;10;;;;;;Natural;14;;2,9;2,8;19,7;4,2;23,9;Southern Karelia;RUS;61,50;34,52;;5613;Kazimirov and Morozova, 1973;;80608;
3106;Picea abies (L.) Karst.;56;12;;;;;;Natural;20,6;;4,2;4,3;29,1;5,9;35;Southern Karelia;RUS;61,50;34,52;;5613;Kazimirov and Morozova, 1973;;80608;
3107;Picea abies (L.) Karst.;67;2;;;;;;Natural;0,3;;0,1;0,1;0,5;0,1;0,6;Southern Karelia;RUS;61,50;34,52;;6390;Kazimirov and Morozova, 1973;;80608;
3108;Picea abies (L.) Karst.;67;4;;;;;;Natural;1,6;;0,4;0,3;2,3;0,6;2,9;Southern Karelia;RUS;61,50;34,52;;6390;Kazimirov and Morozova, 1973;;80608;
3109;Picea abies (L.) Karst.;67;6;;;;;;Natural;4,5;;0,9;0,8;6,2;1,5;7,7;Southern Karelia;RUS;61,50;34,52;;6390;Kazimirov and Morozova, 1973;;80608;
3110;Picea abies (L.) Karst.;67;8;;;;;;Natural;9,2;;1,8;1,7;12,7;2,8;15,5;Southern Karelia;RUS;61,50;34,52;;6390;Kazimirov and Morozova, 1973;;80608;
3111;Picea abies (L.) Karst.;67;10;;;;;;Natural;15,5;;3;2,9;21,4;4,4;25,8;Southern Karelia;RUS;61,50;34,52;;6390;Kazimirov and Morozova, 1973;;80608;
3112;Picea abies (L.) Karst.;67;12;;;;;;Natural;23,2;;4,6;4,4;32,2;6,2;38,4;Southern Karelia;RUS;61,50;34,52;;6390;Kazimirov and Morozova, 1973;;80608;
3113;Picea abies (L.) Karst.;67;14;;;;;;Natural;32;;6,5;6,2;44,7;8,1;52,8;Southern Karelia;RUS;61,50;34,52;;6390;Kazimirov and Morozova, 1973;;80608;
3114;Picea abies (L.) Karst.;67;16;;;;;;Natural;41,8;;8,8;8,3;58,9;10,2;69,1;Southern Karelia;RUS;61,50;34,52;;6390;Kazimirov and Morozova, 1973;;80608;
3115;Picea abies (L.) Karst.;84;4;;;;;;Natural;1,7;;0,4;0,2;2,3;0,7;3;Southern Karelia;RUS;61,50;34,52;;2248;Kazimirov and Morozova, 1973;;80608;
3116;Picea abies (L.) Karst.;84;6;;;;;;Natural;4,6;;1;0,7;6,3;1,6;7,9;Southern Karelia;RUS;61,50;34,52;;2248;Kazimirov and Morozova, 1973;;80608;
3117;Picea abies (L.) Karst.;84;8;;;;;;Natural;9,8;;2;1,5;13,3;2,9;16,2;Southern Karelia;RUS;61,50;34,52;;2248;Kazimirov and Morozova, 1973;;80608;
3118;Picea abies (L.) Karst.;84;10;;;;;;Natural;17,4;;3,4;2,7;23,5;4,5;28;Southern Karelia;RUS;61,50;34,52;;2248;Kazimirov and Morozova, 1973;;80608;
3119;Picea abies (L.) Karst.;84;12;;;;;;Natural;26,2;;5,2;4,2;35,6;6,3;41,9;Southern Karelia;RUS;61,50;34,52;;2248;Kazimirov and Morozova, 1973;;80608;
3120;Picea abies (L.) Karst.;84;14;;;;;;Natural;38;;7,4;6;51,4;8,4;59,8;Southern Karelia;RUS;61,50;34,52;;2248;Kazimirov and Morozova, 1973;;80608;
3121;Picea abies (L.) Karst.;84;16;;;;;;Natural;51,5;;9,8;8,1;69,4;10,7;80,1;Southern Karelia;RUS;61,50;34,52;;2248;Kazimirov and Morozova, 1973;;80608;
3122;Picea abies (L.) Karst.;84;18;;;;;;Natural;66,5;;12,5;10,3;89,3;13,2;102,5;Southern Karelia;RUS;61,50;34,52;;2248;Kazimirov and Morozova, 1973;;80608;
3123;Picea abies (L.) Karst.;84;20;;;;;;Natural;82,5;;15,5;12,6;110,6;15,9;126,5;Southern Karelia;RUS;61,50;34,52;;2248;Kazimirov and Morozova, 1973;;80608;
3124;Picea abies (L.) Karst.;37;1;;;;0,3;;Natural;0,15;;0,09;0,12;0,36;0,09;0,45;Southern Karelia;RUS;62,00;34,00;;9010;Kazimirov and Morozova, 1973;;80608;1249
3125;Picea abies (L.) Karst.;37;2;;;;0,7;;Natural;0,35;;0,19;0,24;0,78;0,19;0,97;Southern Karelia;RUS;62,00;34,00;;9010;Kazimirov and Morozova, 1973;;80608;1249
3126;Picea abies (L.) Karst.;37;3;;;;1,7;;Natural;0,81;;0,37;0,37;1,55;0,4;1,95;Southern Karelia;RUS;62,00;34,00;;9010;Kazimirov and Morozova, 1973;;80608;1249
3127;Picea abies (L.) Karst.;37;4;;;;3,3;;Natural;1,54;;0,62;0,58;2,74;0,69;3,43;Southern Karelia;RUS;62,00;34,00;;9010;Kazimirov and Morozova, 1973;;80608;1249
3128;Picea abies (L.) Karst.;37;5;;;;5,6;;Natural;2,64;;0,97;0,88;4,49;1,08;5,57;Southern Karelia;RUS;62,00;34,00;;9010;Kazimirov and Morozova, 1973;;80608;1249
3129;Picea abies (L.) Karst.;37;6;;;;8,9;;Natural;4,17;;1,4;1,25;6,82;1,55;8,37;Southern Karelia;RUS;62,00;34,00;;9010;Kazimirov and Morozova, 1973;;80608;1249
3130;Picea abies (L.) Karst.;37;7;;;;13,1;;Natural;6,11;;1,96;1,7;9,77;2,1;11,87;Southern Karelia;RUS;62,00;34,00;;9010;Kazimirov and Morozova, 1973;;80608;1249
3131;Picea abies (L.) Karst.;37;8;;;;18,6;;Natural;8,65;;2,7;2,33;13,7;2,8;16,5;Southern Karelia;RUS;62,00;34,00;;9010;Kazimirov and Morozova, 1973;;80608;1249
3132;Picea abies (L.) Karst.;37;9;;;;25,8;;Natural;11,9;;3,45;2,96;18,3;3,59;21,89;Southern Karelia;RUS;62,00;34,00;;9010;Kazimirov and Morozova, 1973;;80608;1249
3133;Picea abies (L.) Karst.;37;10;;;;34,1;;Natural;15,7;;4,2;3,57;23,5;4,56;28,06;Southern Karelia;RUS;62,00;34,00;;9010;Kazimirov and Morozova, 1973;;80608;1249
3134;Picea abies (L.) Karst.;42;2;;;;0,7;;Natural;0,36;;0,18;0,21;0,75;0,19;0,94;Southern Karelia;RUS;62,00;34,00;;9410;Kazimirov and Morozova, 1973;;80608;1250
3135;Picea abies (L.) Karst.;42;3;;;;1,8;;Natural;0,82;;0,36;0,34;1,52;0,4;1,92;Southern Karelia;RUS;62,00;34,00;;9410;Kazimirov and Morozova, 1973;;80608;1250
3136;Picea abies (L.) Karst.;42;4;;;;3,3;;Natural;1,55;;0,59;0,56;2,7;0,68;3,38;Southern Karelia;RUS;62,00;34,00;;9410;Kazimirov and Morozova, 1973;;80608;1250
3137;Picea abies (L.) Karst.;42;5;;;;5,7;;Natural;2,66;;0,94;0,85;4,45;1,07;5,52;Southern Karelia;RUS;62,00;34,00;;9410;Kazimirov and Morozova, 1973;;80608;1250
3138;Picea abies (L.) Karst.;42;6;;;;9,2;;Natural;4,2;;1,32;1,21;6,73;1,54;8,27;Southern Karelia;RUS;62,00;34,00;;9410;Kazimirov and Morozova, 1973;;80608;1250
3139;Picea abies (L.) Karst.;42;7;;;;13,7;;Natural;6,17;;1,83;1,65;9,65;2,08;11,73;Southern Karelia;RUS;62,00;34,00;;9410;Kazimirov and Morozova, 1973;;80608;1250
3140;Picea abies (L.) Karst.;42;8;;;;19,5;;Natural;8,75;;2,48;2,28;13,5;2,78;16,28;Southern Karelia;RUS;62,00;34,00;;9410;Kazimirov and Morozova, 1973;;80608;1250
3141;Picea abies (L.) Karst.;42;9;;;;26,7;;Natural;12;;3,2;2,88;18,1;3,57;21,67;Southern Karelia;RUS;62,00;34,00;;9410;Kazimirov and Morozova, 1973;;80608;1250
3142;Picea abies (L.) Karst.;42;10;;;;35,5;;Natural;15,8;;3,94;3,53;23,3;4,53;27,83;Southern Karelia;RUS;62,00;34,00;;9410;Kazimirov and Morozova, 1973;;80608;1250
3143;Picea abies (L.) Karst.;42;11;;;;45,6;;Natural;20,4;;4,87;4,28;29,6;5,8;35,4;Southern Karelia;RUS;62,00;34,00;;9410;Kazimirov and Morozova, 1973;;80608;1250
3144;Picea abies (L.) Karst.;41;1;;;;0,3;;Natural;0,15;;0,08;0,11;0,34;0,08;0,42;Southern Karelia;RUS;62,00;34,00;;9930;Kazimirov and Morozova, 1973;;80608;1251
3145;Picea abies (L.) Karst.;41;2;;;;0,7;;Natural;0,36;;0,18;0,19;0,73;0,19;0,92;Southern Karelia;RUS;62,00;34,00;;9930;Kazimirov and Morozova, 1973;;80608;1251
3146;Picea abies (L.) Karst.;41;3;;;;1,8;;Natural;0,83;;0,36;0,34;1,53;0,4;1,93;Southern Karelia;RUS;62,00;34,00;;9930;Kazimirov and Morozova, 1973;;80608;1251
3147;Picea abies (L.) Karst.;41;4;;;;3,4;;Natural;1,56;;0,58;0,54;2,68;0,68;3,36;Southern Karelia;RUS;62,00;34,00;;9930;Kazimirov and Morozova, 1973;;80608;1251
3148;Picea abies (L.) Karst.;41;5;;;;5,8;;Natural;2,68;;0,92;0,84;4,44;1,07;5,51;Southern Karelia;RUS;62,00;34,00;;9930;Kazimirov and Morozova, 1973;;80608;1251
3149;Picea abies (L.) Karst.;41;6;;;;9,3;;Natural;4,25;;1,29;1,17;6,71;1,53;8,24;Southern Karelia;RUS;62,00;34,00;;9930;Kazimirov and Morozova, 1973;;80608;1251
3150;Picea abies (L.) Karst.;41;7;;;;13,7;;Natural;6,25;;1,79;1,61;9,65;2,07;11,72;Southern Karelia;RUS;62,00;34,00;;9930;Kazimirov and Morozova, 1973;;80608;1251
3151;Picea abies (L.) Karst.;41;8;;;;19,7;;Natural;8,9;;2,43;2,19;13,5;2,76;16,26;Southern Karelia;RUS;62,00;34,00;;9930;Kazimirov and Morozova, 1973;;80608;1251
3152;Picea abies (L.) Karst.;41;9;;;;27;;Natural;12,2;;3,13;2,76;18,1;3,54;21,64;Southern Karelia;RUS;62,00;34,00;;9930;Kazimirov and Morozova, 1973;;80608;1251
3153;Picea abies (L.) Karst.;41;10;;;;35,8;;Natural;16;;3,89;3,41;23,3;4,5;27,8;Southern Karelia;RUS;62,00;34,00;;9930;Kazimirov and Morozova, 1973;;80608;1251
3154;Picea abies (L.) Karst.;41;11;;;;47;;Natural;21;;4,8;4,2;30;5,72;35,72;Southern Karelia;RUS;62,00;34,00;;9930;Kazimirov and Morozova, 1973;;80608;1251
3155;Picea abies (L.) Karst.;45;1;;;;0,3;;Natural;0,15;;0,07;0,09;0,31;0,08;0,39;Southern Karelia;RUS;62,00;34,00;;9620;Kazimirov and Morozova, 1973;;80608;1252
3156;Picea abies (L.) Karst.;45;2;;;;0,8;;Natural;0,37;;0,17;0,18;0,72;0,19;0,91;Southern Karelia;RUS;62,00;34,00;;9620;Kazimirov and Morozova, 1973;;80608;1252
3157;Picea abies (L.) Karst.;45;3;;;;1,9;;Natural;0,84;;0,35;0,34;1,53;0,4;1,93;Southern Karelia;RUS;62,00;34,00;;9620;Kazimirov and Morozova, 1973;;80608;1252
3158;Picea abies (L.) Karst.;45;4;;;;3,5;;Natural;1,59;;0,57;0,55;2,71;0,67;3,38;Southern Karelia;RUS;62,00;34,00;;9620;Kazimirov and Morozova, 1973;;80608;1252
3159;Picea abies (L.) Karst.;45;5;;;;5,9;;Natural;2,72;;0,92;0,86;4,5;1,08;5,58;Southern Karelia;RUS;62,00;34,00;;9620;Kazimirov and Morozova, 1973;;80608;1252
3160;Picea abies (L.) Karst.;45;6;;;;9,5;;Natural;4,3;;1,29;1,21;6,8;1,5;8,3;Southern Karelia;RUS;62,00;34,00;;9620;Kazimirov and Morozova, 1973;;80608;1252
3161;Picea abies (L.) Karst.;45;7;;;;14;;Natural;6,3;;1,79;1,67;9,76;2,12;11,88;Southern Karelia;RUS;62,00;34,00;;9620;Kazimirov and Morozova, 1973;;80608;1252
3162;Picea abies (L.) Karst.;45;8;;;;20;;Natural;8,96;;2,37;2,26;13,6;2,75;16,35;Southern Karelia;RUS;62,00;34,00;;9620;Kazimirov and Morozova, 1973;;80608;1252
3163;Picea abies (L.) Karst.;45;9;;;;27,6;;Natural;12,3;;3,06;2,88;18,2;3,52;21,72;Southern Karelia;RUS;62,00;34,00;;9620;Kazimirov and Morozova, 1973;;80608;1252
3164;Picea abies (L.) Karst.;45;10;;;;36,3;;Natural;16,2;;3,85;3,53;23,6;4,47;28,07;Southern Karelia;RUS;62,00;34,00;;9620;Kazimirov and Morozova, 1973;;80608;1252
3165;Picea abies (L.) Karst.;45;11;;;;48,2;;Natural;21,5;;4,75;4,32;30,6;5,72;36,32;Southern Karelia;RUS;62,00;34,00;;9620;Kazimirov and Morozova, 1973;;80608;1252
3166;Picea abies (L.) Karst.;45;12;;;;60,6;;Natural;27,1;;5,7;5,12;37,9;6,92;44,82;Southern Karelia;RUS;62,00;34,00;;9620;Kazimirov and Morozova, 1973;;80608;1252
3167;Picea abies (L.) Karst.;39;1;;;;0,3;;Natural;0,15;;0,05;0,07;0,27;0,07;0,34;Southern Karelia;RUS;62,00;34,00;;9980;Kazimirov and Morozova, 1973;;80608;1253
3168;Picea abies (L.) Karst.;39;2;;;;0,8;;Natural;0,4;;0,14;0,14;0,68;0,2;0,88;Southern Karelia;RUS;62,00;34,00;;9980;Kazimirov and Morozova, 1973;;80608;1253
3169;Picea abies (L.) Karst.;39;3;;;;2,1;;Natural;0,97;;0,3;0,27;1,54;0,43;1,97;Southern Karelia;RUS;62,00;34,00;;9980;Kazimirov and Morozova, 1973;;80608;1253
3170;Picea abies (L.) Karst.;39;4;;;;3,9;;Natural;1,8;;0,5;0,48;2,78;0,71;3,49;Southern Karelia;RUS;62,00;34,00;;9980;Kazimirov and Morozova, 1973;;80608;1253
3171;Picea abies (L.) Karst.;39;5;;;;6,8;;Natural;3,1;;0,82;0,76;4,68;1,1;5,78;Southern Karelia;RUS;62,00;34,00;;9980;Kazimirov and Morozova, 1973;;80608;1253
3172;Picea abies (L.) Karst.;39;6;;;;10,8;;Natural;4,9;;1,21;1,11;7,22;1,61;8,83;Southern Karelia;RUS;62,00;34,00;;9980;Kazimirov and Morozova, 1973;;80608;1253
3173;Picea abies (L.) Karst.;39;7;;;;15,9;;Natural;7,2;;1,71;1,57;10,5;2,2;12,7;Southern Karelia;RUS;62,00;34,00;;9980;Kazimirov and Morozova, 1973;;80608;1253
3174;Picea abies (L.) Karst.;39;8;;;;22,8;;Natural;10,3;;2,36;2,14;14,8;2,95;17,75;Southern Karelia;RUS;62,00;34,00;;9980;Kazimirov and Morozova, 1973;;80608;1253
3175;Picea abies (L.) Karst.;39;9;;;;31,7;;Natural;14,2;;3,04;2,73;20;3,82;23,82;Southern Karelia;RUS;62,00;34,00;;9980;Kazimirov and Morozova, 1973;;80608;1253
3176;Picea abies (L.) Karst.;39;10;;;;42;;Natural;18,7;;3,86;3,42;26;4,9;30,9;Southern Karelia;RUS;62,00;34,00;;9980;Kazimirov and Morozova, 1973;;80608;1253
3177;Picea abies (L.) Karst.;39;11;;;;55;;Natural;24,4;;4,82;4,26;33,5;6,08;39,58;Southern Karelia;RUS;62,00;34,00;;9980;Kazimirov and Morozova, 1973;;80608;1253
3178;Picea abies (L.) Karst.;39;12;;;;69,2;;Natural;30,6;;5,8;5,06;41,5;7,28;48,78;Southern Karelia;RUS;62,00;34,00;;9980;Kazimirov and Morozova, 1973;;80608;1253
3179;Picea abies (L.) Karst.;39;13;;;;85;;Natural;37,3;;6,92;6,07;50,3;8,55;58,85;Southern Karelia;RUS;62,00;34,00;;9980;Kazimirov and Morozova, 1973;;80608;1253
3180;Picea abies (L.) Karst.;39;14;;;;101;;Natural;44,3;;8,08;6,95;59,3;9,82;69,12;Southern Karelia;RUS;62,00;34,00;;9980;Kazimirov and Morozova, 1973;;80608;1253
3181;Picea abies (L.) Karst.;43;2;;;;0,9;;Natural;0,42;;0,12;0,09;0,63;0,2;0,83;Southern Karelia;RUS;62,00;34,00;;6310;Kazimirov and Morozova, 1973;;80608;1254
